episode, reward, epsilon, hasWon
0, -35.00, 1.00, false
1, -29.00, 1.00, false
2, -30.00, 1.00, false
3, -28.00, 1.00, false
4, -29.00, 1.00, false
5, -30.00, 1.00, false
6, -29.00, 1.00, false
7, -33.00, 1.00, false
8, -31.00, 1.00, false
9, -28.00, 1.00, false
10, -29.00, 1.00, false
11, -38.00, 1.00, false
12, 34.00, 1.00, true
13, -28.00, 1.00, false
14, -28.00, 1.00, false
15, -31.00, 1.00, false
16, -31.00, 1.00, false
17, -29.00, 1.00, false
18, -30.00, 1.00, false
19, -29.00, 1.00, false
20, -28.00, 1.00, false
21, -28.00, 1.00, false
22, -31.00, 1.00, false
23, -29.00, 1.00, false
24, -32.00, 1.00, false
25, -28.00, 1.00, false
26, -29.00, 1.00, false
27, -30.00, 1.00, false
28, 34.00, 1.00, true
29, -33.00, 1.00, false
30, -29.00, 1.00, false
31, -33.00, 1.00, false
32, -28.00, 1.00, false
33, -29.00, 1.00, false
34, -31.00, 1.00, false
35, -30.00, 1.00, false
36, -29.00, 1.00, false
37, -28.00, 1.00, false
38, -31.00, 1.00, false
39, -28.00, 1.00, false
40, -30.00, 1.00, false
41, -28.00, 1.00, false
42, -31.00, 1.00, false
43, -31.00, 1.00, false
44, -29.00, 1.00, false
45, -29.00, 1.00, false
46, -30.00, 1.00, false
47, -30.00, 1.00, false
48, -29.00, 1.00, false
49, -32.00, 0.99, false
50, -29.00, 0.99, false
51, -35.00, 0.99, false
52, -29.00, 0.99, false
53, -30.00, 0.99, false
54, -31.00, 0.99, false
55, -30.00, 0.99, false
56, -30.00, 0.99, false
57, -29.00, 0.99, false
58, -32.00, 0.99, false
59, -30.00, 0.99, false
60, -28.00, 0.99, false
61, -29.00, 0.99, false
62, -30.00, 0.99, false
63, -28.00, 0.99, false
64, -28.00, 0.99, false
65, -29.00, 0.99, false
66, -31.00, 0.99, false
67, -28.00, 0.99, false
68, -28.00, 0.99, false
69, -30.00, 0.99, false
70, -32.00, 0.99, false
71, -29.00, 0.99, false
72, -30.00, 0.99, false
73, -30.00, 0.99, false
74, -33.00, 0.99, false
75, -28.00, 0.99, false
76, -36.00, 0.99, false
77, -29.00, 0.99, false
78, -28.00, 0.99, false
79, -29.00, 0.99, false
80, -29.00, 0.99, false
81, -36.00, 0.99, false
82, -34.00, 0.99, false
83, -32.00, 0.99, false
84, 34.00, 0.99, true
85, -30.00, 0.99, false
86, -29.00, 0.99, false
87, -28.00, 0.99, false
88, -35.00, 0.99, false
89, -30.00, 0.99, false
90, -29.00, 0.99, false
91, 34.00, 0.99, true
92, -29.00, 0.99, false
93, -30.00, 0.99, false
94, 32.00, 0.99, true
95, -29.00, 0.99, false
96, -29.00, 0.99, false
97, -29.00, 0.99, false
98, -29.00, 0.99, false
99, -29.00, 0.99, false
100, -33.00, 0.99, false
101, -33.00, 0.99, false
102, -29.00, 0.99, false
103, -28.00, 0.99, false
104, -31.00, 0.99, false
105, 32.00, 0.99, true
106, -29.00, 0.99, false
107, -29.00, 0.99, false
108, -29.00, 0.99, false
109, -30.00, 0.99, false
110, -32.00, 0.99, false
111, -30.00, 0.99, false
112, -27.00, 0.99, false
113, -29.00, 0.99, false
114, -37.00, 0.99, false
115, -29.00, 0.99, false
116, -29.00, 0.99, false
117, -29.00, 0.99, false
118, -29.00, 0.99, false
119, 33.00, 0.99, true
120, -29.00, 0.99, false
121, -29.00, 0.99, false
122, -30.00, 0.99, false
123, -32.00, 0.99, false
124, -29.00, 0.99, false
125, -27.00, 0.99, false
126, 34.00, 0.99, true
127, -30.00, 0.99, false
128, -29.00, 0.99, false
129, -34.00, 0.99, false
130, -29.00, 0.99, false
131, -32.00, 0.99, false
132, 33.00, 0.99, true
133, -31.00, 0.99, false
134, -29.00, 0.99, false
135, -31.00, 0.99, false
136, -32.00, 0.99, false
137, -28.00, 0.99, false
138, -30.00, 0.99, false
139, -31.00, 0.99, false
140, -30.00, 0.99, false
141, -32.00, 0.99, false
142, -29.00, 0.99, false
143, -31.00, 0.99, false
144, -29.00, 0.99, false
145, -29.00, 0.99, false
146, -28.00, 0.99, false
147, -33.00, 0.99, false
148, -34.00, 0.99, false
149, -29.00, 0.99, false
150, -29.00, 0.99, false
151, -29.00, 0.99, false
152, -32.00, 0.99, false
153, -30.00, 0.99, false
154, -34.00, 0.99, false
