episode, reward, epsilon, hasWon
0, -29.00, 0.90, false
1, -33.00, 0.89, false
2, -29.00, 0.89, false
3, 31.00, 0.88, true
4, -28.00, 0.88, false
5, -31.00, 0.87, false
6, -28.00, 0.86, false
7, -28.00, 0.86, false
8, -29.00, 0.85, false
9, 34.00, 0.85, true
10, -27.00, 0.84, false
11, -30.00, 0.83, false
12, -29.00, 0.83, false
13, -29.00, 0.82, false
14, 33.00, 0.82, true
15, -29.00, 0.81, false
16, -31.00, 0.81, false
17, -33.00, 0.80, false
18, -29.00, 0.79, false
19, -29.00, 0.79, false
20, -28.00, 0.78, false
21, -29.00, 0.78, false
22, -28.00, 0.77, false
23, 34.00, 0.76, true
24, -29.00, 0.76, false
25, -28.00, 0.75, false
26, -28.00, 0.75, false
27, -27.00, 0.74, false
28, -28.00, 0.73, false
29, -31.00, 0.73, false
30, -27.00, 0.72, false
31, 33.00, 0.72, true
32, 32.00, 0.71, true
33, -29.00, 0.70, false
34, -28.00, 0.70, false
35, -31.00, 0.69, false
36, -29.00, 0.69, false
37, -31.00, 0.68, false
38, 34.00, 0.67, true
39, -30.00, 0.67, false
40, -31.00, 0.66, false
41, -27.00, 0.66, false
42, -29.00, 0.65, false
43, -29.00, 0.64, false
44, -29.00, 0.64, false
45, -31.00, 0.63, false
46, 34.00, 0.63, true
47, -29.00, 0.62, false
48, -29.00, 0.62, false
49, -29.00, 0.61, false
50, -28.00, 0.60, false
51, 34.00, 0.60, true
52, -27.00, 0.59, false
53, -29.00, 0.59, false
54, -27.00, 0.58, false
55, -29.00, 0.57, false
56, -30.00, 0.57, false
57, -27.00, 0.56, false
58, -27.00, 0.56, false
59, -28.00, 0.55, false
60, 34.00, 0.54, true
61, 34.00, 0.54, true
62, -28.00, 0.53, false
63, 34.00, 0.53, true
64, 34.00, 0.52, true
65, -29.00, 0.51, false
66, -29.00, 0.51, false
67, -29.00, 0.50, false
68, -28.00, 0.50, false
69, -30.00, 0.49, false
70, -29.00, 0.48, false
71, 34.00, 0.48, true
72, -29.00, 0.47, false
73, -29.00, 0.47, false
74, 34.00, 0.46, true
75, -28.00, 0.45, false
76, -28.00, 0.45, false
77, -29.00, 0.44, false
78, -28.00, 0.44, false
79, -28.00, 0.43, false
80, -29.00, 0.43, false
81, -27.00, 0.42, false
82, -29.00, 0.41, false
83, 34.00, 0.41, true
84, -27.00, 0.40, false
85, -29.00, 0.40, false
86, -27.00, 0.39, false
87, -28.00, 0.38, false
88, 34.00, 0.38, true
89, -28.00, 0.37, false
90, -27.00, 0.37, false
91, -28.00, 0.36, false
92, -28.00, 0.35, false
93, 34.00, 0.35, true
94, -29.00, 0.34, false
95, -27.00, 0.34, false
96, -29.00, 0.33, false
97, -27.00, 0.32, false
98, -27.00, 0.32, false
99, 34.00, 0.31, true
100, -29.00, 0.31, false
101, 33.00, 0.30, true
102, -29.00, 0.29, false
103, 34.00, 0.29, true
104, 34.00, 0.28, true
105, 34.00, 0.28, true
106, -29.00, 0.27, false
107, 34.00, 0.27, true
108, -28.00, 0.26, false
109, -27.00, 0.25, false
110, 34.00, 0.25, true
111, -29.00, 0.24, false
112, -29.00, 0.24, false
113, -29.00, 0.23, false
114, 34.00, 0.22, true
115, -29.00, 0.22, false
116, -28.00, 0.21, false
117, 34.00, 0.21, true
118, 33.00, 0.20, true
119, -29.00, 0.19, false
120, -29.00, 0.19, false
121, -29.00, 0.18, false
122, -28.00, 0.18, false
123, 34.00, 0.17, true
124, -28.00, 0.16, false
125, -29.00, 0.16, false
126, -29.00, 0.15, false
127, 34.00, 0.15, true
128, -28.00, 0.14, false
129, -28.00, 0.13, false
130, 34.00, 0.13, true
131, -29.00, 0.12, false
132, 34.00, 0.12, true
133, -29.00, 0.11, false
134, -29.00, 0.10, false
135, -29.00, 0.10, false
136, 34.00, 0.09, true
137, 34.00, 0.09, true
138, 34.00, 0.08, true
139, -29.00, 0.08, false
140, 34.00, 0.07, true
141, -29.00, 0.06, false
142, -28.00, 0.06, false
143, 34.00, 0.05, true
144, -28.00, 0.05, false
145, 34.00, 0.04, true
146, 34.00, 0.03, true
147, -29.00, 0.03, false
148, 34.00, 0.02, true
149, -28.00, 0.02, false
