episode, reward, epsilon, hasWon
0, -28.00, 1.00, false
1, -30.00, 1.00, false
2, -29.00, 1.00, false
3, -30.00, 1.00, false
4, -30.00, 1.00, false
5, -29.00, 1.00, false
6, -31.00, 1.00, false
7, -29.00, 1.00, false
8, -29.00, 1.00, false
9, -29.00, 1.00, false
10, -32.00, 1.00, false
11, -30.00, 1.00, false
12, -31.00, 1.00, false
13, -33.00, 1.00, false
14, -29.00, 1.00, false
15, -29.00, 1.00, false
16, -30.00, 1.00, false
17, -30.00, 1.00, false
18, -30.00, 1.00, false
19, -29.00, 1.00, false
20, -29.00, 1.00, false
21, -29.00, 1.00, false
22, -29.00, 1.00, false
23, -29.00, 1.00, false
24, -32.00, 1.00, false
25, -29.00, 1.00, false
26, -29.00, 1.00, false
27, -29.00, 1.00, false
28, -29.00, 1.00, false
29, -29.00, 1.00, false
30, -32.00, 1.00, false
31, -31.00, 1.00, false
32, -32.00, 1.00, false
33, -31.00, 1.00, false
34, -31.00, 1.00, false
35, -27.00, 1.00, false
36, -31.00, 1.00, false
37, -29.00, 1.00, false
38, -33.00, 1.00, false
39, -29.00, 1.00, false
40, -32.00, 1.00, false
41, -31.00, 1.00, false
42, -31.00, 1.00, false
43, -28.00, 1.00, false
44, -29.00, 1.00, false
45, -29.00, 1.00, false
46, -34.00, 1.00, false
47, -28.00, 1.00, false
48, -29.00, 1.00, false
49, -34.00, 0.99, false
50, -31.00, 0.99, false
51, -27.00, 0.99, false
52, -29.00, 0.99, false
53, -27.00, 0.99, false
54, -35.00, 0.99, false
55, -28.00, 0.99, false
56, -31.00, 0.99, false
57, -30.00, 0.99, false
58, -29.00, 0.99, false
59, -30.00, 0.99, false
60, -29.00, 0.99, false
61, -30.00, 0.99, false
62, -32.00, 0.99, false
63, -30.00, 0.99, false
64, -29.00, 0.99, false
65, -32.00, 0.99, false
66, -34.00, 0.99, false
67, -28.00, 0.99, false
68, -29.00, 0.99, false
69, -29.00, 0.99, false
70, -29.00, 0.99, false
71, -33.00, 0.99, false
72, -31.00, 0.99, false
73, -29.00, 0.99, false
74, -29.00, 0.99, false
75, -33.00, 0.99, false
76, -32.00, 0.99, false
77, -29.00, 0.99, false
78, -28.00, 0.99, false
79, -38.00, 0.99, false
80, -34.00, 0.99, false
81, -31.00, 0.99, false
82, -29.00, 0.99, false
83, -30.00, 0.99, false
84, -28.00, 0.99, false
85, -27.00, 0.99, false
86, -30.00, 0.99, false
87, -30.00, 0.99, false
88, -31.00, 0.99, false
89, -29.00, 0.99, false
90, -31.00, 0.99, false
91, -33.00, 0.99, false
92, -29.00, 0.99, false
93, -35.00, 0.99, false
94, -28.00, 0.99, false
95, -29.00, 0.99, false
96, -30.00, 0.99, false
97, -29.00, 0.99, false
98, -29.00, 0.99, false
99, -29.00, 0.99, false
100, -30.00, 0.99, false
101, -33.00, 0.99, false
102, 34.00, 0.99, true
103, 33.00, 0.99, true
104, -32.00, 0.99, false
105, -29.00, 0.99, false
106, -31.00, 0.99, false
107, -29.00, 0.99, false
108, -29.00, 0.99, false
109, -30.00, 0.99, false
110, -35.00, 0.99, false
111, -29.00, 0.99, false
112, -30.00, 0.99, false
113, -31.00, 0.99, false
114, -32.00, 0.99, false
115, -34.00, 0.99, false
116, -32.00, 0.99, false
117, -29.00, 0.99, false
118, -30.00, 0.99, false
119, -29.00, 0.99, false
120, 34.00, 0.99, true
121, -29.00, 0.99, false
122, -34.00, 0.99, false
123, -31.00, 0.99, false
124, -31.00, 0.99, false
125, -32.00, 0.99, false
126, -29.00, 0.99, false
127, 28.00, 0.99, true
128, -29.00, 0.99, false
129, -31.00, 0.99, false
130, -28.00, 0.99, false
131, -28.00, 0.99, false
132, -33.00, 0.99, false
133, -29.00, 0.99, false
134, -34.00, 0.99, false
135, -36.00, 0.99, false
136, -28.00, 0.99, false
137, -31.00, 0.99, false
138, -29.00, 0.99, false
139, -33.00, 0.99, false
140, -32.00, 0.99, false
141, -29.00, 0.99, false
142, -34.00, 0.99, false
143, -29.00, 0.99, false
144, -29.00, 0.99, false
145, -31.00, 0.99, false
146, -30.00, 0.99, false
147, -29.00, 0.99, false
148, -29.00, 0.99, false
149, -31.00, 0.99, false
150, -31.00, 0.99, false
151, -29.00, 0.99, false
152, -29.00, 0.99, false
153, -31.00, 0.99, false
154, -28.00, 0.99, false
155, -33.00, 0.99, false
156, -31.00, 0.99, false
157, 33.00, 0.99, true
158, -31.00, 0.99, false
159, -29.00, 0.99, false
160, -32.00, 0.99, false
161, -29.00, 0.99, false
162, -27.00, 0.99, false
163, -30.00, 0.99, false
164, -31.00, 0.99, false
165, -31.00, 0.99, false
166, -29.00, 0.99, false
167, -29.00, 0.99, false
168, -30.00, 0.99, false
169, -29.00, 0.99, false
170, -31.00, 0.98, false
171, -28.00, 0.98, false
172, -29.00, 0.98, false
173, 34.00, 0.98, true
174, -29.00, 0.98, false
175, -34.00, 0.98, false
176, -29.00, 0.98, false
177, -29.00, 0.98, false
178, -29.00, 0.98, false
179, -31.00, 0.98, false
180, -30.00, 0.98, false
181, -35.00, 0.98, false
182, -30.00, 0.98, false
183, -30.00, 0.98, false
184, -29.00, 0.98, false
185, -29.00, 0.98, false
186, -32.00, 0.98, false
187, -30.00, 0.98, false
188, -30.00, 0.98, false
189, -31.00, 0.98, false
190, -27.00, 0.98, false
191, -30.00, 0.98, false
192, -29.00, 0.98, false
193, -28.00, 0.98, false
194, -29.00, 0.98, false
195, -29.00, 0.98, false
196, -33.00, 0.98, false
197, -28.00, 0.98, false
198, -34.00, 0.98, false
199, -30.00, 0.98, false
200, -29.00, 0.98, false
201, -27.00, 0.98, false
202, -28.00, 0.98, false
203, -33.00, 0.98, false
204, -32.00, 0.98, false
205, -30.00, 0.98, false
206, -29.00, 0.98, false
207, -30.00, 0.98, false
208, -30.00, 0.98, false
209, -30.00, 0.98, false
210, -29.00, 0.98, false
211, -30.00, 0.98, false
212, 33.00, 0.98, true
213, -30.00, 0.98, false
214, -31.00, 0.98, false
