episode, reward, epsilon, hasWon
0, 10.20, 1.00, true
1, -49.80, 1.00, false
2, -48.40, 1.00, false
3, -49.80, 1.00, false
4, -49.40, 1.00, false
5, -48.80, 0.99, false
6, -48.60, 0.99, false
7, -47.60, 0.99, false
8, -49.00, 0.99, false
9, -47.80, 0.99, false
10, -49.80, 0.99, false
11, -48.60, 0.99, false
12, -48.20, 0.99, false
13, -46.80, 0.99, false
14, -49.60, 0.99, false
15, -49.60, 0.98, false
16, -49.80, 0.98, false
17, -49.80, 0.98, false
18, 9.60, 0.98, true
19, -49.80, 0.98, false
20, -47.20, 0.98, false
21, -48.80, 0.98, false
22, -49.00, 0.98, false
23, -48.00, 0.98, false
24, 9.80, 0.98, true
25, -48.80, 0.97, false
26, -48.00, 0.97, false
27, -46.80, 0.97, false
28, -49.80, 0.97, false
29, -49.80, 0.97, false
30, -47.80, 0.97, false
31, -48.20, 0.97, false
32, -49.20, 0.97, false
33, -49.20, 0.97, false
34, -49.60, 0.97, false
35, -49.80, 0.96, false
36, 9.40, 0.96, true
37, -48.60, 0.96, false
38, -49.40, 0.96, false
39, 9.60, 0.96, true
40, -48.80, 0.96, false
41, -49.40, 0.96, false
42, -49.80, 0.96, false
43, -48.80, 0.96, false
44, -47.40, 0.96, false
45, -48.20, 0.95, false
46, -49.40, 0.95, false
47, -47.60, 0.95, false
48, -49.80, 0.95, false
49, -48.80, 0.95, false
50, -49.80, 0.95, false
51, -49.20, 0.95, false
52, -48.80, 0.95, false
53, 9.80, 0.95, true
54, -48.00, 0.95, false
55, -45.40, 0.94, false
56, -46.80, 0.94, false
57, 9.20, 0.94, true
58, -47.60, 0.94, false
59, -49.80, 0.94, false
60, -49.60, 0.94, false
61, -49.40, 0.94, false
62, -49.80, 0.94, false
63, -48.80, 0.94, false
64, -49.60, 0.94, false
65, -44.00, 0.93, false
66, -49.00, 0.93, false
67, -48.00, 0.93, false
68, -49.80, 0.93, false
69, -49.20, 0.93, false
70, -48.80, 0.93, false
71, -49.00, 0.93, false
72, -45.40, 0.93, false
73, -49.60, 0.93, false
74, -49.40, 0.93, false
75, -49.80, 0.92, false
76, -49.80, 0.92, false
77, -49.00, 0.92, false
78, -49.80, 0.92, false
79, -49.60, 0.92, false
80, -49.80, 0.92, false
